params,elections,user_modes,wf_modes,in_min_docs_users,min_words_users,in_min_docs_party,min_words_party,ngram
desc,2015-can-canada,users,wf,10,25,10,25,2gram
ml,2015-can-canada,users,wf,10,100,2,20,2gram
desc,2014-can-quebec,users,wf,10,25,10,25,2gram
ml,2014-can-quebec,users,wf,4,20,5,25,2gram
desc,2014-nzl-new-zealand,users,wf,10,25,10,25,2gram
ml,2014-nzl-new-zealand,users,wf,4,20,3,15,2gram
desc,2015-can-canada,politicians,wf,10,25,10,25,2gram
ml,2015-can-canada,politicians,wf,10,100,2,20,2gram
desc,2014-can-quebec,politicians,wf,10,25,10,25,2gram
ml,2014-can-quebec,politicians,wf,4,20,5,25,2gram
desc,2014-nzl-new-zealand,politicians,wf,10,25,10,25,2gram
ml,2014-nzl-new-zealand,politicians,wf,4,20,3,15,2gram
desc,2015-can-canada,users,wgt,10,25,10,25,2gram
ml,2015-can-canada,users,wgt,10,100,2,20,2gram
desc,2014-can-quebec,users,wgt,10,25,10,25,2gram
ml,2014-can-quebec,users,wgt,4,20,5,25,2gram
desc,2014-nzl-new-zealand,users,wgt,10,25,10,25,2gram
ml,2014-nzl-new-zealand,users,wgt,4,20,3,15,2gram
desc,2015-can-canada,users,wgt2,10,25,10,25,2gram
ml,2015-can-canada,users,wgt2,10,100,2,20,2gram
desc,2014-can-quebec,users,wgt2,10,25,10,25,2gram
ml,2014-can-quebec,users,wgt2,4,20,5,25,2gram
desc,2014-nzl-new-zealand,users,wgt2,10,25,10,25,2gram
ml,2014-nzl-new-zealand,users,wgt2,4,20,3,15,2gram
desc,2015-can-canada,politicians,wf,10,25,10,25,1gram
desc,2014-can-quebec,politicians,wf,10,25,10,25,1gram
desc,2014-nzl-new-zealand,politicians,wf,4,20,3,15,1gram
desc,2015-can-canada,politicians,wf,10,25,10,25,3gram
desc,2014-can-quebec,politicians,wf,10,25,10,25,3gram
desc,2014-nzl-new-zealand,politicians,wf,4,20,3,15,3gram
